Sector,Industry_Group,CO2/REV,KCGS_Grade,
Information Technology,Semiconductors & Semiconductor Equipment,136,B,
Information Technology,Semiconductors & Semiconductor Equipment,136,B,
Information Technology,Semiconductors & Semiconductor Equipment,136,B+,
Information Technology,Semiconductors & Semiconductor Equipment,136,B+,
Information Technology,Semiconductors & Semiconductor Equipment,136,B+,
Information Technology,Semiconductors & Semiconductor Equipment,136,C,
Information Technology,Semiconductors & Semiconductor Equipment,136,C,
Information Technology,Semiconductors & Semiconductor Equipment,136,D,
Information Technology,Semiconductors & Semiconductor Equipment,136,D,
Information Technology,Semiconductors & Semiconductor Equipment,136,NULL,
Information Technology,Semiconductors & Semiconductor Equipment,136,NULL,
Information Technology,Semiconductors & Semiconductor Equipment,136,NULL,
Information Technology,Semiconductors & Semiconductor Equipment,136,NULL,
Information Technology,Semiconductors & Semiconductor Equipment,121,B,
Information Technology,Technology Hardware & Equipment,109,C,
Information Technology,Technology Hardware & Equipment,109,C,
Information Technology,Technology Hardware & Equipment,68,A,
Information Technology,Technology Hardware & Equipment,46,A,
Information Technology,Technology Hardware & Equipment,29,C,
Information Technology,Technology Hardware & Equipment,25,B,
Information Technology,Technology Hardware & Equipment,25,C,
Information Technology,Technology Hardware & Equipment,25,D,
Information Technology,Technology Hardware & Equipment,25,D,
Information Technology,Technology Hardware & Equipment,22,C,
Information Technology,Technology Hardware & Equipment,22,C,
Information Technology,Technology Hardware & Equipment,22,D,
Information Technology,Technology Hardware & Equipment,22,D,
Information Technology,Technology Hardware & Equipment,22,D,
Information Technology,Semiconductors & Semiconductor Equipment,16,B,
Information Technology,Technology Hardware & Equipment,13,B,
Information Technology,Technology Hardware & Equipment,13,C,
Information Technology,Technology Hardware & Equipment,13,D,
Information Technology,Technology Hardware & Equipment,13,NULL,
Information Technology,Software & Services,57,D,
Information Technology,Software & Services,41,A,
Information Technology,Software & Services,41,A,
Information Technology,Software & Services,41,A,
Information Technology,Software & Services,41,B,
Information Technology,Software & Services,41,B,
Information Technology,Software & Services,41,D,
Information Technology,Software & Services,41,D,
Information Technology,Software & Services,41,D,
Information Technology,Software & Services,10,B,
Information Technology,Software & Services,10,C,
Information Technology,Software & Services,9,A,
Information Technology,Software & Services,7,C,
Information Technology,Software & Services,7,D,
Information Technology,Software & Services,7,D,
Information Technology,Software & Services,7,D,
Information Technology,Software & Services,7,D,
Information Technology,Software & Services,6,C,
Materials,Materials,5033,A,
Materials,Materials,5033,B,
Materials,Materials,5033,B,
Materials,Materials,5033,B+,
Materials,Materials,5033,B+,
Materials,Materials,5033,B+,
Materials,Materials,5033,B+,
Materials,Materials,5033,B+,
Materials,Materials,5033,C,
Materials,Materials,5033,C,
Materials,Materials,5033,C,
Materials,Materials,5033,C,
Materials,Materials,5033,D,
Materials,Materials,5033,D,
Materials,Materials,5033,D,
Materials,Materials,3011,A,
Materials,Materials,1731,A,
Materials,Materials,1731,B,
Materials,Materials,1731,B,
Materials,Materials,1731,B,
Materials,Materials,1731,B,
Materials,Materials,1731,B,
Materials,Materials,1731,B,
Materials,Materials,1731,B+,
Materials,Materials,1731,B+,
Materials,Materials,1731,B+,
Materials,Materials,1731,B+,
Materials,Materials,1731,B+,
Materials,Materials,1731,B+,
Materials,Materials,1731,B+,
Materials,Materials,1731,B+,
Materials,Materials,1731,C,
Materials,Materials,1731,C,
Materials,Materials,1731,C,
Materials,Materials,1731,C,
Materials,Materials,1731,C,
Materials,Materials,1731,D,
Materials,Materials,1731,D,
Materials,Materials,1731,D,
Materials,Materials,1731,D,
Materials,Materials,1731,D,
Materials,Materials,1731,D,
Materials,Materials,1726,B+,
Materials,Materials,1423,A,
Materials,Materials,1017,B,
Materials,Materials,1017,B,
Materials,Materials,1017,B,
Materials,Materials,1017,C,
Materials,Materials,934,B+,
Materials,Materials,908,B,
Materials,Materials,908,C,
Materials,Materials,908,C,
Materials,Materials,908,D,
Materials,Materials,840,A,
Materials,Materials,840,B,
Materials,Materials,840,B,
Materials,Materials,840,B,
Materials,Materials,840,B+,
Materials,Materials,840,B+,
Materials,Materials,840,B+,
Materials,Materials,840,B+,
Materials,Materials,840,B+,
Materials,Materials,840,C,
Materials,Materials,840,C,
Materials,Materials,840,D,
Materials,Materials,840,D,
Materials,Materials,790,B,
Materials,Materials,719,B,
Materials,Materials,719,B,
Materials,Materials,719,B,
Materials,Materials,719,B,
Materials,Materials,719,C,
Materials,Materials,719,D,
Materials,Materials,706,A,
Materials,Materials,706,A,
Materials,Materials,706,A,
Materials,Materials,706,A,
Materials,Materials,706,A,
Materials,Materials,706,A,
Materials,Materials,706,B,
Materials,Materials,706,B,
Materials,Materials,706,B,
Materials,Materials,706,B,
Materials,Materials,706,B,
Materials,Materials,706,B,
Materials,Materials,706,B,
Materials,Materials,706,B,
Materials,Materials,706,B,
Materials,Materials,706,B,
Materials,Materials,706,B,
Materials,Materials,706,B,
Materials,Materials,706,B,
Materials,Materials,706,B,
Materials,Materials,706,B,
Materials,Materials,706,B,
Materials,Materials,706,B,
Materials,Materials,706,B,
Materials,Materials,706,B,
Materials,Materials,706,B,
Materials,Materials,706,B+,
Materials,Materials,706,B+,
Materials,Materials,706,B+,
Materials,Materials,706,C,
Materials,Materials,706,C,
Materials,Materials,706,D,
Materials,Materials,706,D,
Materials,Materials,706,D,
Materials,Materials,706,NULL,
Materials,Materials,623,A,
Materials,Materials,623,C,
Materials,Materials,540,A,
Materials,Materials,539,A,
Materials,Materials,484,B,
Materials,Materials,474,B+,
Materials,Materials,448,B,
Materials,Materials,409,A,
Materials,Materials,377,B+,
Materials,Materials,344,B+,
Materials,Materials,293,A,
Materials,Materials,239,B,
Materials,Materials,239,B,
Materials,Materials,239,B,
Materials,Materials,239,B,
Materials,Materials,239,B,
Materials,Materials,239,B,
Materials,Materials,239,C,
Materials,Materials,239,C,
Materials,Materials,239,C,
Materials,Materials,239,C,
Materials,Materials,209,A,
Materials,Materials,209,B,
Materials,Materials,209,B,
Materials,Materials,209,B,
Materials,Materials,209,B,
Materials,Materials,209,B,
Materials,Materials,209,B+,
Materials,Materials,209,B+,
Materials,Materials,209,C,
Materials,Materials,209,C,
Materials,Materials,209,C,
Materials,Materials,209,C,
Materials,Materials,209,C,
Materials,Materials,209,C,
Materials,Materials,209,D,
Materials,Materials,209,D,
Materials,Materials,209,D,
Materials,Materials,209,D,
Materials,Materials,209,NULL,
Materials,Materials,209,NULL,
Materials,Materials,209,NULL,
Materials,Materials,116,B+,
Real Estate,Real Estate,203,NULL,
Real Estate,Real Estate,129,D,
Real Estate,Real Estate,103,NULL,
Real Estate,Real Estate,103,NULL,
Real Estate,Real Estate,100,D,
Real Estate,Real Estate,88,NULL,
Real Estate,Real Estate,84,C,
Real Estate,Real Estate,73,C,
Real Estate,Real Estate,73,NULL,
Real Estate,Real Estate,22,A,
Utilities,Utilities,2874,B,
Utilities,Utilities,2874,B+,
Utilities,Utilities,2874,B+,
Utilities,Utilities,393,B,
Utilities,Utilities,393,B,
Utilities,Utilities,393,B,
Utilities,Utilities,393,B+,
Utilities,Utilities,393,C,
Utilities,Utilities,393,C,
Utilities,Utilities,393,C,
Utilities,Utilities,393,D,
Utilities,Utilities,393,D,
Utilities,Utilities,31,B+,
Utilities,Utilities,21,B+,

