Ticker Symbol,Proper Name,ETF Issuer,Asset Class,ETF Launch,ETF Last Expense Ratio,ETF AUM,ETF Focus,ETF Niche,ETF Segment Name,ETF Strategy ,ETF Strategy Cluster,ETF Strategy Group,ETF Selection Criteria,ETF Weighting Scheme
DEIF,Sterling Capital Diverse Multi-Manager Active,Truist,Equity,12/13/2021,65.0,"101,752,750.0",Total Market,Broad-based,Equity: U.S.  -  Total Market,Active,Active,Active,Proprietary,Proprietary
DEM,WisdomTree Emerging Markets High Dividend Fund,WisdomTree,Equity,07/13/2007,63.0,"2,540,261,600.0",High Dividend Yield,Broad-based,Equity: Emerging Markets - High Dividend Yield,Dividends,Bottom-up,Strategic,Dividends,Dividends
DEMZ,Democratic Large Cap Core,"Reflection Asset Management, LLC",Equity,11/02/2020,45.0,"24,964,485.3",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,ESG,Social Criteria,Idiosyncratic,Principles-based,Proprietary
DES,WisdomTree U.S. SmallCap Dividend Fund,WisdomTree,Equity,06/16/2006,38.0,"1,857,473,280.0",Small Cap,Broad-based,Equity: U.S.  -  Small Cap,Dividends,Bottom-up,Strategic,Dividends,Dividends
DEUS,Xtrackers Russell US Multifactor,Deutsche Bank,Equity,11/24/2015,17.0,"134,964,045.0",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,Multi-factor,Hybrid,Strategic,Multi-Factor,Multi-Factor
DEW,WisdomTree Global High Dividend Fund,WisdomTree,Equity,06/16/2006,58.0,"110,449,765.0",High Dividend Yield,Broad-based,Equity: Global - High Dividend Yield,Dividends,Bottom-up,Strategic,Dividends,Dividends
DFAC,Dimensional U.S. Core Equity 2,Dimensional,Equity,06/14/2021,17.0,"21,675,321,046.1",Total Market,Broad-based,Equity: U.S.  -  Total Market,Active,Active,Active,Proprietary,Proprietary
DFAE,Dimensional Emerging Core Equity Market,Dimensional,Equity,12/01/2020,35.0,"2,898,442,740.0",Total Market,Broad-based,Equity: Emerging Markets  -  Total Market,Active,Active,Active,Proprietary,Proprietary
DFAI,Dimensional International Core Equity Market,Dimensional,Equity,11/17/2020,18.0,"4,019,744,520.0",Total Market,Broad-based,Equity: Developed Markets Ex-U.S.  -  Total Market,Active,Active,Active,Proprietary,Proprietary
DFAR,Dimensional US Real Estate,Dimensional,Equity,02/23/2022,19.0,"707,496,905.0",Real Estate,Broad-based,Equity: U.S. Real Estate,Active,Active,Active,Proprietary,Proprietary
DFAS,Dimensional U.S. Small Cap,Dimensional,Equity,06/14/2021,26.0,"5,873,968,637.6",Small Cap,Broad-based,Equity: U.S.  -  Small Cap,Active,Active,Active,Proprietary,Proprietary
DFAT,Dimensional U.S. Targeted Value,Dimensional,Equity,06/14/2021,28.0,"8,575,455,357.3",Extended Market,Value,Equity: U.S. - Extended Market Value,Active,Active,Active,Proprietary,Proprietary
DFAU,Dimensional US Core Equity Market,Dimensional,Equity,11/17/2020,12.0,"4,037,532,660.0",Total Market,Broad-based,Equity: U.S.  -  Total Market,Active,Active,Active,Proprietary,Proprietary
DFAX,Dimensional World ex U.S. Core Equity 2,Dimensional,Equity,09/13/2021,30.0,"5,903,159,855.9",Total Market,Broad-based,Equity: Global Ex-U.S.  -  Total Market,Active,Active,Active,Proprietary,Proprietary
DFCA,Dimensional California Municipal Bond,Dimensional,Fixed Income,06/26/2023,19.0,"172,799,935.0",Investment Grade,Intermediate,"Fixed Income:California Government, Local Authority/Municipal Investment Grade Intermediate",Active,Active,Active,Proprietary,Proprietary
DFCF,Dimensional Core Fixed Income,Dimensional,Fixed Income,11/15/2021,17.0,"3,346,280,100.0",Investment Grade,Broad Maturities,"Fixed Income: Global - Broad Market, Broad-based Investment Grade",Active,Active,Active,Proprietary,Proprietary
DFE,WisdomTree Europe SmallCap Dividend Fund,WisdomTree,Equity,06/16/2006,58.0,"202,521,710.0",Small Cap,Broad-based,Equity: Developed Europe  - Small Cap,Dividends,Bottom-up,Strategic,Dividends,Dividends
DFEB,FT Cboe Vest U.S. Equity Deep Buffer - February,First Trust,Equity,02/21/2020,85.0,"206,344,571.8",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,Buy-write,Technical,Strategic,Fixed,Fixed
DFEM,Dimensional Emerging Markets Core Equity 2,Dimensional,Equity,04/26/2022,38.0,"2,252,323,120.0",Total Market,Broad-based,Equity: Emerging Markets  -  Total Market,Active,Active,Active,Proprietary,Proprietary
DFEN,Direxion Daily Aerospace & Defense Bull 3X Shares,Rafferty Asset Management,Equity,05/03/2017,97.0,"148,590,269.9",Industrials,Aerospace & Defense,Leveraged Equity: U.S. Aerospace & Defense,Vanilla,Vanilla,Vanilla,Market Cap,Market Cap
DFEV,Dimensional Emerging Markets Value,Dimensional,Equity,04/26/2022,43.0,"444,436,720.0",Total Market,Value,Equity: Emerging Markets  -  Total Market Value,Active,Active,Active,Proprietary,Proprietary
DFGR,Dimensional Global Real Estate,Dimensional,Equity,12/06/2022,22.0,"841,526,850.0",Real Estate,Broad-based,Equity: Global Real Estate,Active,Active,Active,Proprietary,Proprietary
DFHY,TrimTabs Donoghue Forlines Tactical High Yield Donoghue Forlines Tactical High Yield,FCF Advisors,Fixed Income,12/08/2020,87.0,"32,197,065.0",Broad Credit,Broad Maturities,"Fixed Income: U.S. - Corporate, Broad-based",Fundamental,Bottom-up,Strategic,Fixed,Fixed
DFIC,Dimensional International Core Equity 2,Dimensional,Equity,03/23/2022,23.0,"4,063,427,300.0",Total Market,Broad-based,Equity: Developed Markets Ex-U.S.  -  Total Market,Active,Active,Active,Proprietary,Proprietary
DFIP,Dimensional Inflation-Protected Securities,Dimensional,Fixed Income,11/15/2021,11.0,"398,673,800.0",Investment Grade,Long-Term,"Fixed Income: U.S. - Government, Inflation-linked Investment Grade Long-Term",Active,Active,Active,Proprietary,Proprietary
DFIS,Dimensional International Small Cap,Dimensional,Equity,03/23/2022,39.0,"734,023,500.0",Small Cap,Broad-based,Equity: Developed Markets Ex-U.S.  -  Small Cap,Active,Active,Active,Proprietary,Proprietary
DFIV,Dimensional International Value,Dimensional,Equity,09/13/2021,27.0,"5,884,513,500.6",Total Market,Value,Equity: Developed Markets Ex-U.S.  -  Total Market Value,Active,Active,Active,Proprietary,Proprietary
DFJ,WisdomTree Japan SmallCap Dividend Fund,WisdomTree,Equity,06/16/2006,58.0,"195,602,960.0",Small Cap,Broad-based,Equity: Japan  -  Small Cap,Dividends,Bottom-up,Strategic,Dividends,Dividends
DFLV,Dimensional US Large Cap Value,Dimensional,Equity,12/06/2022,22.0,"879,851,675.0",Large Cap,Value,Equity: U.S.  -  Large Cap Value,Active,Active,Active,Proprietary,Proprietary
DFND,Siren DIVCON Dividend Defender,SRN Advisors,Equity,01/14/2016,189.0,"12,460,986.2",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,Multi-factor,Hybrid,Strategic,Proprietary,Proprietary
DFNL,Davis Select Financial,Davis Advisers,Equity,01/11/2017,63.0,"164,502,387.1",Financials,Broad-based,Equity: Global Financials,Active,Active,Active,Proprietary,Proprietary
DFNM,Dimensional National Municipal Bond,Dimensional,Fixed Income,11/15/2021,17.0,"970,194,270.0",Investment Grade,Intermediate,"Fixed Income: U.S. - Government, Local Authority/Municipal Investment Grade Intermediate",Active,Active,Active,Proprietary,Proprietary
DFNV,TrimTabs Donoghue Forlines Risk Managed Innovation,FCF Advisors,Equity,12/08/2020,69.0,"38,268,727.5",Total Market,Broad-based,Equity: U.S.  -  Total Market,Fundamental,Bottom-up,Strategic,Fixed,Fixed
DFRA,Donoghue Forlines Yield Enhanced Real Asset,FCF Advisors,Equity,12/14/2021,69.0,"42,859,057.5",Total Market,Broad-based,Equity: U.S.  -  Total Market,Fundamental,Bottom-up,Strategic,Fundamental,Fundamental
DFSB,Dimensional Global Sustainability Fixed Income,Dimensional,Fixed Income,11/15/2022,24.0,"143,117,520.0",Investment Grade,Broad Maturities,"Fixed Income: Developed Markets - Broad Market, Broad-based Investment Grade",Active,Active,Active,Proprietary,Proprietary
DFSD,Dimensional Short-Duration Fixed Income,Dimensional,Fixed Income,11/15/2021,16.0,"1,490,147,200.0",Investment Grade,Short-Term,"Fixed Income: Global - Broad Market, Broad-based Investment Grade Short-Term",Active,Active,Active,Proprietary,Proprietary
DFSE,Dimensional Emerging Markets Sustainability Core 1,Dimensional,Equity,11/01/2022,41.0,"152,631,500.0",Total Market,Broad-based,Equity: Emerging Markets  -  Total Market,Active,Active,Active,Proprietary,Proprietary
DFSI,Dimensional International Sustainability Core 1,Dimensional,Equity,11/01/2022,24.0,"229,045,760.0",Total Market,Broad-based,Equity: Developed Markets Ex-U.S.  -  Total Market,Active,Active,Active,Proprietary,Proprietary
DFSU,Dimensional US Sustainability Core 1,Dimensional,Equity,11/01/2022,18.0,"547,809,375.0",Total Market,Broad-based,Equity: U.S.  -  Total Market,Active,Active,Active,Proprietary,Proprietary
DFSV,Dimensional US Small Cap Value,Dimensional,Equity,02/23/2022,31.0,"1,758,886,800.0",Small Cap,Value,Equity: U.S.  -  Small Cap Value,Active,Active,Active,Proprietary,Proprietary
DFUS,Dimensional U.S. Equity,Dimensional,Equity,06/14/2021,9.0,"6,925,846,724.2",Total Market,Broad-based,Equity: U.S.  -  Total Market,Active,Active,Active,Proprietary,Proprietary
DFUV,Dimensional US Marketwide Value,Dimensional,Equity,05/09/2022,22.0,"8,868,749,943.4",Total Market,Value,Equity: U.S.  -  Total Market Value,Active,Active,Active,Proprietary,Proprietary
DGIN,VanEck Digital India,VanEck,Equity,02/15/2022,71.0,"3,228,170.0",Theme,Digital Economy,Equity: India Digital Economy,Vanilla,Vanilla,Vanilla,Market Cap,Market Cap
DGP,DB Gold Double Long Exchange Traded Notes,Deutsche Bank,Commodities,02/27/2008,75.0,"79,380,912.9",Gold,Optimized,Leveraged Commodities: Precious Metals Gold,Optimized commodity,Technical,Strategic,Single Asset,Single Asset
DGRE,WisdomTree Emerging Markets Quality Dividend Growth Fund,WisdomTree,Equity,08/01/2013,32.0,"102,061,800.0",Total Market,Broad-based,Equity: Emerging Markets  -  Total Market,Active,Active,Active,Proprietary,Proprietary
DGRO,iShares Core Dividend Growth,Blackrock,Equity,06/10/2014,8.0,"24,036,812,737.5",Total Market,Broad-based,Equity: U.S.  -  Total Market,Fundamental,Bottom-up,Strategic,Fundamental,Dividends
DGRS,WisdomTree US Smallcap Quality Dividend Growth Fund,WisdomTree,Equity,07/25/2013,38.0,"251,627,843.0",Small Cap,Broad-based,Equity: U.S.  -  Small Cap,Multi-factor,Hybrid,Strategic,Multi-Factor,Dividends
DGRW,WisdomTree US Quality Dividend Growth Fund,WisdomTree,Equity,05/22/2013,28.0,"9,806,547,520.0",Total Market,Broad-based,Equity: U.S.  -  Total Market,Multi-factor,Hybrid,Strategic,Multi-Factor,Dividends
DGS,WisdomTree Emerging Markets SmallCap Dividend Fund,WisdomTree,Equity,10/30/2007,58.0,"2,883,513,780.0",Small Cap,Broad-based,Equity: Emerging Markets  -  Small Cap,Dividends,Bottom-up,Strategic,Dividends,Dividends
DGT,SPDR Global Dow,State Street,Equity,09/25/2000,50.0,"161,796,128.1",Large Cap,Broad-based,Equity: Global  -  Large Cap,Equal,Arbitrary Weighting,Idiosyncratic,Committee,Equal
DGZ,DB Gold Short Exchange Traded Notes,Deutsche Bank,Commodities,02/27/2008,75.0,"3,235,874.7",Gold,Optimized,Inverse Commodities: Precious Metals Gold,Optimized commodity,Technical,Strategic,Single Asset,Single Asset
DHS,WisdomTree U.S. High Dividend Fund,WisdomTree,Equity,06/16/2006,38.0,"1,184,724,450.0",High Dividend Yield,Broad-based,Equity: U.S.  -  High Dividend Yield,Dividends,Bottom-up,Strategic,Dividends,Dividends
DIA,SPDR Dow Jones Industrial Average Trust,State Street,Equity,01/14/1998,16.0,"29,940,491,820.1",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,Price-weighted,Arbitrary Weighting,Idiosyncratic,Committee,Price
DIAL,Columbia Diversified Fixed Income Allocation,Ameriprise Financial,Fixed Income,10/12/2017,28.0,"397,176,000.0",Broad Credit,Broad Maturities,"Fixed Income: Global - Broad Market, Broad-based",Fixed Asset Allocation,Arbitrary Weighting,Idiosyncratic,Fixed,Tiered
DIEM,Franklin Emerging Market Core Dividend Tilt Index,Franklin Templeton,Equity,06/01/2016,19.0,"11,920,000.0",High Dividend Yield,Broad-based,Equity: Emerging Markets - High Dividend Yield,Dividends,Bottom-up,Strategic,Dividends,Dividends
DIG,ProShares Ultra Energy,ProShares,Equity,01/30/2007,95.0,"129,579,872.3",Energy,"Oil, Gas & Consumable Fuels","Leveraged Equity: U.S. Oil, Gas & Consumable Fuels",Vanilla,Vanilla,Vanilla,Committee,Market Cap
DIHP,Dimensional International High Profitability,Dimensional,Equity,03/23/2022,29.0,"1,396,623,400.0",Large Cap,Broad-based,Equity: Developed Markets Ex-U.S.  -  Large Cap,Active,Active,Active,Proprietary,Proprietary
DIM,WisdomTree International MidCap Dividend Fund,WisdomTree,Equity,06/16/2006,58.0,"136,770,235.0",Mid Cap,Broad-based,Equity: Developed Markets Ex-U.S.  -  Mid Cap,Dividends,Bottom-up,Strategic,Dividends,Dividends
DINT,Davis Select International,Davis Advisers,Equity,03/01/2018,64.0,"160,179,593.2",Total Market,Broad-based,Equity: Global Ex-U.S.  -  Total Market,Active,Active,Active,Proprietary,Proprietary
DIP,BTD Capital Fund,Exchange Traded Concepts,Equity,12/12/2022,129.0,"1,306,000.0",Total Market,Broad-based,Equity: U.S.  -  Total Market,Active,Active,Active,Proprietary,Proprietary
DISO,YieldMax DIS Option Income Strategy,Tidal,Equity,08/25/2023,99.0,"2,548,400.0",Communication Services,Movies & Entertainment,Equity:U.S. Movies & Entertainment,Buy-write,Technical,Strategic,Single Asset,Single Asset
DISV,Dimensional International Small Cap Value,Dimensional,Equity,03/23/2022,42.0,"1,269,910,200.0",Small Cap,Value,Equity: Developed Markets Ex-U.S. - Small Cap Value,Active,Active,Active,Proprietary,Proprietary
DIV,Global X SuperDividend US,"Mirae Asset Global Investments Co., Ltd.",Equity,03/11/2013,45.0,"620,792,785.9",High Dividend Yield,Broad-based,Equity: U.S.  -  High Dividend Yield,Multi-factor,Hybrid,Strategic,Multi-Factor,Equal
DIVB,iShares Core Dividend,Blackrock,Equity,11/07/2017,5.0,"254,099,014.0",Total Market,Broad-based,Equity: U.S.  -  Total Market,Fundamental,Bottom-up,Strategic,Fundamental,Fundamental
DIVD,Altrius Global Dividend Altrius Global Divid,Alpha Architect,Equity,09/30/2022,49.0,"6,356,553.0",High Dividend Yield,Broad-based,Equity: Global - High Dividend Yield,Active,Active,Active,Proprietary,Proprietary
DIVI,Franklin International Core Dividend Tilt Index,Franklin Templeton,Equity,06/01/2016,9.0,"456,620,000.0",High Dividend Yield,Broad-based,Equity: Developed Markets Ex-North America - High Dividend Yield,Dividends,Bottom-up,Strategic,Dividends,Dividends
DIVL,Madison Dividend Value,"Madison Investment Holdings, Inc.",Equity,08/15/2023,65.0,"62,780,862.5",Total Market,Value,Equity: Global  - Total Market Value,Active,Active,Active,Proprietary,Proprietary
DIVO,Amplify CWP Enhanced Dividend Income,Amplify Investments,Equity,12/14/2016,55.0,"2,921,446,000.0",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,Active,Active,Active,Proprietary,Proprietary
DIVS,SmartETFs Dividend Builder,Guinness Atkinson Asset Management,Equity,03/30/2012,65.0,"29,696,014.3",Total Market,Broad-based,Equity: Global  -  Total Market,Active,Active,Active,Proprietary,Proprietary
DIVY,Sound Equity Dividend Income,Tidal,Equity,12/30/2020,45.0,"26,397,030.0",High Dividend Yield,Broad-based,Equity: U.S.  -  High Dividend Yield,Active,Active,Active,Proprietary,Proprietary
DIVZ,TrueShares Low Volatility Equity Income,TrueMark Group,Equity,01/27/2021,65.0,"63,872,616.0",Total Market,Broad-based,Equity: U.S.  -  Total Market,Active,Active,Active,Proprietary,Proprietary
DJAN,FT Cboe Vest U.S. Equity Deep Buffer - January,First Trust,Equity,01/15/2021,85.0,"186,688,191.4",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,Buy-write,Technical,Strategic,Fixed,Fixed
DJCB,ETRACS Bloomberg Commodity Index Total Return ETN Series B,UBS,Commodities,10/24/2019,50.0,"44,453,010.0",Broad Market,Front Month,Commodities: Broad Market,Multi-factor,Hybrid,Strategic,Fixed,Multi-Factor
DJD,Invesco Dow Jones Industrial Average Dividend,Invesco,Equity,12/16/2015,7.0,"266,403,600.0",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,Dividends,Bottom-up,Strategic,Committee,Dividends
DJIA,Global X Dow 30 Covered Call,"Mirae Asset Global Investments Co., Ltd.",Equity,02/23/2022,60.0,"81,559,836.3",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,Buy-write,Technical,Strategic,Fixed,Fixed
DJP,iPath Bloomberg Commodity Index Total Return ETN,Barclays ,Commodities,06/06/2006,70.0,"643,551,603.5",Broad Market,Front Month,Commodities: Broad Market,Multi-factor,Hybrid,Strategic,Fixed,Multi-Factor
DJUL,FT Cboe Vest U.S. Equity Deep Buffer - July,First Trust,Equity,07/17/2020,85.0,"293,630,469.9",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,Buy-write,Technical,Strategic,Fixed,Fixed
DJUN,FT Cboe Vest U.S. Equity Deep Buffer - June,First Trust,Equity,06/19/2020,85.0,"175,514,272.8",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,Buy-write,Technical,Strategic,Fixed,Fixed
DKRB,Subversive Decarbonization,Subversive Capital Advisor LLC,Equity,12/22/2022,75.0,"570,367.5",Theme,Low Carbon,Equity: Global Low Carbon,Active,Active,Active,Proprietary,Proprietary
DLN,WisdomTree U.S. LargeCap Dividend Fund,WisdomTree,Equity,06/16/2006,28.0,"3,571,250,225.0",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,Dividends,Bottom-up,Strategic,Dividends,Dividends
DLS,WisdomTree International SmallCap Dividend Fund,WisdomTree,Equity,06/16/2006,58.0,"1,121,862,775.0",Small Cap,Broad-based,Equity: Developed Markets Ex-U.S.  -  Small Cap,Dividends,Bottom-up,Strategic,Dividends,Dividends
DMAR,FT Cboe Vest U.S. Equity Deep Buffer - March,First Trust,Equity,03/19/2021,85.0,"201,160,415.4",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,Buy-write,Technical,Strategic,Fixed,Fixed
DMAT,Global X Disruptive Materials,"Mirae Asset Global Investments Co., Ltd.",Equity,01/24/2022,59.0,"4,896,319.9",Materials,Broad-based,Equity: Global Materials,Vanilla,Vanilla,Vanilla,Market Cap,Market Cap
DMAY,FT Cboe Vest U.S. Equity Deep Buffer - May,First Trust,Equity,05/15/2020,85.0,"172,811,669.5",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,Buy-write,Technical,Strategic,Fixed,Fixed
DMBS,DoubleLine Mortgage,Doubleline ETF Adviser LP,Fixed Income,03/31/2023,49.0,"99,910,048.5",Investment Grade,Broad Maturities,"Fixed Income: U.S. - Broad Market, Asset-backed Investment Grade",Active,Active,Active,Proprietary,Proprietary
DMCY,Democracy International Fund,Democracy Investment Management LLC,Equity,03/31/2021,50.0,"7,018,836.4",Total Market,Broad-based,Equity: Global Ex-U.S.  -  Total Market,ESG,Social Criteria,Idiosyncratic,Market Cap,Principles-based
DMDV,AAM S&P Developed Markets High Dividend Value,Advisors Asset Management,Equity,11/27/2018,39.0,"1,953,900.0",Total Market,Value,Equity: Developed Markets Ex-U.S.  -  Total Market Value,Fundamental,Bottom-up,Strategic,Fundamental,Equal
DMXF,iShares ESG Advanced MSCI EAFE,Blackrock,Equity,06/16/2020,12.0,"475,844,800.0",Total Market,Broad-based,Equity: Developed Markets Ex-North America  -  Total Market,ESG,Social Criteria,Idiosyncratic,Principles-based,Market Cap
DNL,WisdomTree Global ex-US Quality Dividend Growth Fund,WisdomTree,Equity,06/16/2006,42.0,"599,051,100.0",Total Market,Broad-based,Equity: Global Ex-U.S.  -  Total Market,Multi-factor,Hybrid,Strategic,Multi-Factor,Dividends
DNOV,FT Cboe Vest U.S. Equity Deep Buffer - November,First Trust,Equity,11/15/2019,85.0,"240,123,073.9",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,Buy-write,Technical,Strategic,Fixed,Fixed
DOCT,FT Cboe Vest U.S. Equity Deep Buffer - October,First Trust,Equity,10/16/2020,85.0,"158,902,846.0",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,Buy-write,Technical,Strategic,Fixed,Fixed
DOG,ProShares Short Dow30,ProShares,Equity,06/19/2006,95.0,"199,702,453.0",Large Cap,Broad-based,Inverse Equity: U.S.  -  Large Cap,Price-weighted,Arbitrary Weighting,Idiosyncratic,Committee,Price
DOGG,FT Cboe Vest DJIA Dogs 10 Target Income,First Trust,Equity,04/26/2023,75.0,"6,126,940.8",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,Active,Active,Active,Proprietary,Proprietary
DOL,WisdomTree International LargeCap Dividend Fund,WisdomTree,Equity,06/16/2006,48.0,"507,824,485.0",Large Cap,Broad-based,Equity: Developed Markets Ex-North America  -  Large Cap,Dividends,Bottom-up,Strategic,Dividends,Dividends
DON,WisdomTree U.S. MidCap Dividend Fund,WisdomTree,Equity,06/16/2006,38.0,"3,321,210,900.0",Mid Cap,Broad-based,Equity: U.S.  -  Mid Cap,Dividends,Bottom-up,Strategic,Dividends,Dividends
DPST,Direxion Daily Regional Banks Bull 3X Shares,Rafferty Asset Management,Equity,08/19/2015,93.0,"509,076,133.5",Financials,Regional Banks,Leveraged Equity: U.S. Regional Banks,Equal,Arbitrary Weighting,Idiosyncratic,Committee,Equal
DRIP,Direxion Daily S&P Oil & Gas Exp. & Prod. Bear 2X Shares,Rafferty Asset Management,Equity,05/28/2015,109.0,"80,423,292.2",Energy,Oil & Gas Exploration & Production,Inverse Equity: U.S. Oil & Gas Exploration & Production,Equal,Arbitrary Weighting,Idiosyncratic,Market Cap,Equal
DRIV,Global X Autonomous & Electric Vehicles,"Mirae Asset Global Investments Co., Ltd.",Equity,04/13/2018,68.0,"797,338,943.4",Theme,Mobility,Equity: Global Mobility,Vanilla,Vanilla,Vanilla,Market Cap,Tiered
DRLL,Strive U.S. Energy,Alpha Architect,Equity,08/09/2022,41.0,"362,171,008.0",Energy,Broad-based,Equity: U.S. Energy,Vanilla,Vanilla,Vanilla,Market Cap,Market Cap
DRN,Direxion Daily Real Estate Bull 3x Shares,Rafferty Asset Management,Equity,07/16/2009,101.0,"50,565,500.0",Real Estate,Broad-based,Leveraged Equity: U.S. Real Estate,Vanilla,Vanilla,Vanilla,Committee,Market Cap
DRSK,Aptus Defined Risk,Aptus Capital Advisors,Asset Allocation,08/08/2018,78.0,"482,235,000.0",Target Outcome,Income & Capital Appreciation,Asset Allocation: U.S. Target Outcome ,Active,Active,Active,Proprietary,Proprietary
DRUP,GraniteShares Nasdaq Select Disruptors,GraniteShares,Equity,10/07/2019,60.0,"53,391,000.0",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,Fundamental,Bottom-up,Strategic,Fundamental,Market Cap
DRV,Direxion Daily Real Estate Bear 3X Shares,Rafferty Asset Management,Equity,07/16/2009,108.0,"132,707,810.3",Real Estate,Broad-based,Inverse Equity: U.S. Real Estate,Vanilla,Vanilla,Vanilla,Committee,Market Cap
DSCF,Discipline Fund,Alpha Architect,Asset Allocation,09/21/2021,39.0,"34,808,200.0",Target Outcome,Capital Appreciation,Asset Allocation: Global - Target Outcome ,Active,Active,Active,Proprietary,Proprietary
DSEP,FT Cboe Vest U.S. Equity Deep Buffer - September,First Trust,Equity,09/18/2020,85.0,"137,088,544.9",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,Buy-write,Technical,Strategic,Fixed,Fixed
DSI,iShares MSCI KLD 400 Social,Blackrock,Equity,11/14/2006,25.0,"3,816,048,359.3",Total Market,Broad-based,Equity: U.S.  -  Total Market,ESG,Social Criteria,Idiosyncratic,Principles-based,Market Cap
DSJA,Innovator Double Stacker - January,Innovator,Equity,01/04/2021,79.0,"2,889,510.0",Large Cap,Broad-based,Leveraged Equity: U.S.  -  Large Cap,Vanilla,Vanilla,Vanilla,Fixed,Fixed
DSMC,Distillate Small/Mid Cash Flow,Distillate Capital,Equity,10/05/2022,55.0,"30,491,077.5",Extended Market,Broad-based,Equity: U.S.  -  Extended Market,Active,Active,Active,Proprietary,Proprietary
DSOC,Innovator Double Stacker - October,Innovator,Equity,10/01/2020,79.0,"4,027,950.0",Large Cap,Broad-based,Leveraged Equity: U.S.  -  Large Cap,Vanilla,Vanilla,Vanilla,Fixed,Fixed
DSTL,Distillate US Fundamental Stability & Value,Distillate Capital,Equity,10/24/2018,39.0,"1,312,896,150.0",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,Active,Active,Active,Proprietary,Proprietary
DSTX,Distillate International Fundamental Stability & Value,Distillate Capital,Equity,12/14/2020,39.0,"30,699,810.0",Total Market,Broad-based,Equity: Global Ex-U.S.  -  Total Market,Active,Active,Active,Proprietary,Proprietary
DTD,WisdomTree U.S. Total Dividend Fund,WisdomTree,Equity,06/16/2006,28.0,"1,098,013,000.0",Total Market,Broad-based,Equity: U.S.  -  Total Market,Dividends,Bottom-up,Strategic,Dividends,Dividends
DTEC,ALPS Disruptive Technologies,SS&C,Equity,12/29/2017,50.0,"103,114,075.7",Theme,Broad Technology,Equity: Global Broad Technology,Multi-factor,Hybrid,Strategic,Proprietary,Equal
DTH,WisdomTree International High Dividend Fund,WisdomTree,Equity,06/16/2006,58.0,"402,679,305.0",High Dividend Yield,Broad-based,Equity: Developed Markets Ex-North America - High Dividend Yield,Dividends,Bottom-up,Strategic,Dividends,Dividends
DTRE,First Trust Alerian Disruptive Technology Real Estate,First Trust,Equity,08/27/2007,60.0,"22,298,001.4",Real Estate,Broad-based,Equity: Global Real Estate,Vanilla,Vanilla,Vanilla,Market Cap,Liquidity
DUBS,Aptus Large Cap Enhanced Yield,Aptus Holdings LLC,Equity,06/14/2023,39.0,"114,386,250.0",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,Active,Active,Active,Proprietary,Proprietary
DUDE,Merlyn AI SectorSurfer Momentum,Alpha Architect,Asset Allocation,12/30/2020,109.0,"19,594,350.0",Target Outcome,Income & Capital Appreciation,Asset Allocation: Global - Target Outcome ,Momentum,Technical,Strategic,Momentum,Momentum
DUG,ProShares UltraShort Energy,ProShares,Equity,01/30/2007,95.0,"25,798,253.0",Energy,"Oil, Gas & Consumable Fuels","Inverse Equity: U.S. Oil, Gas & Consumable Fuels",Vanilla,Vanilla,Vanilla,Committee,Market Cap
DUHP,Dimensional US High Profitability,Dimensional,Equity,02/23/2022,21.0,"3,055,963,690.0",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,Active,Active,Active,Proprietary,Proprietary
DULL,MicroSectors Gold -3X Inverse Leveraged ETNs,BMO,Commodities,02/22/2023,95.0,"3,415,161.0",Gold,Physically Held,Inverse Commodities: Precious Metals Gold,Vanilla,Vanilla,Vanilla,Single Asset,Single Asset
DURA,VanEck Durable High Dividend,VanEck,Equity,10/30/2018,29.0,"91,746,140.0",Total Market,Broad-based,Equity: U.S.  -  Total Market,Fundamental,Bottom-up,Strategic,Fundamental,Dividends
DUSA,Davis Select U.S. Equity,Davis Advisers,Equity,01/11/2017,61.0,"371,764,563.7",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,Active,Active,Active,Proprietary,Proprietary
DUSL,Direxion Daily Industrials Bull 3X Shares,Rafferty Asset Management,Equity,05/03/2017,100.0,"25,376,689.0",Industrials,Broad-based,Leveraged Equity: U.S. Industrials,Vanilla,Vanilla,Vanilla,Committee,Market Cap
